,texts,my_labels,predicted,prediction_class,clean_texts
26,"Looks like the Salami Leg F3s were a success! All 3 of these phenos look strikingly similar so far. Hoping for some citrus packed phenos here! 

A lot of people have been asking for pics of the Salami Leg F3s; this is my first time growing them out so they’re still in the “tester” phase at the moment. If you happen to have some of these on hand, I encourage you to pop them so that we may explore their beauty together! If you dont have any, fear not! You can still get some Salami Leg F3 freebies with your order of any Salami Leg F2s on @eastcoastseedbank site! (Link in bio)

Salami Leg F3s are extremely limited and as it was with the Salami Glue F1s, they will only be available through giveaways and freebies! Get yours while they last!

#YourTerpsAreHere #cannabiscommunity #cannabis #marijuana #cannabisgrowers #cannabiscures #cannabisconnoisseur #cannabiscontent #cannabissociety #cannabisseeds #eastcoastseedbank #weedporn #marijuanamovement #marijuanagrowers #growmarijuana #growcannabis #grassachusetts #grassroots #indoorcannabis #indoorgrow #indoorweed #growyourown #homegrown #organiccannabis #dontpanicitsorganic #necompost #livingsoil #mmj #thc #medicalmarijuana",positive,positive,positive-positive,Looks like the Salami Leg F3s were a success ! All 3 of these phenos look strikingly similar so far Hoping for some citrus packed phenos here ! A lot of people have been asking for pics of the Salami Leg F3s this is my first time growing them out so they’re still in the “tester” phase at the moment If you happen to have some of these on hand I encourage you to pop them so that we may explore their beauty together ! If you dont have any fear not ! You can still get some Salami Leg F3 freebies with your order of any Salami Leg F2s on eastcoastseedbank site ! (Link in bio) Salami Leg F3s are extremely limited and as it was with the Salami Glue F1s they will only be available through giveaways and freebies ! Get yours while they last ! YourTerpsAreHere cannabiscommunity cannabis marijuana cannabisgrowers cannabiscures cannabisconnoisseur cannabiscontent cannabissociety cannabisseeds eastcoastseedbank weedporn marijuanamovement marijuanagrowers growmarijuana growcannabis grassachusetts grassroots indoorcannabis indoorgrow indoorweed growyourown homegrown organiccannabis dontpanicitsorganic necompost livingsoil mmj thc medicalmarijuana
27,"Tomorrow is “California Dreamin’: How Do Social Movements Reimagine California?” with Dr. Kent Blansett and Dr. William Deverell. Be sure to RSVP, http://bit.ly/3sSxHVZ. 

#CA #OntheBallot #SocialMovements 

Photo: Indian Occupiers moments after their removal from Alcatraz Island on June 11, 1971. Left: Oohosis, a Cree from Canada. Right: Peggy Lee Ellenwood, a Sioux from Wolf Point, Montana. Photo by Ilka Hartmann.",neutral,neutral,neutral-neutral,Tomorrow is “California Dreamin’ How Do Social Movements Reimagine California?” with Dr Kent Blansett and Dr William Deverell Be sure to RSVP http bit ly 3sSxHVZ  CA OntheBallot SocialMovements Photo Indian Occupiers moments after their removal from Alcatraz Island on June 11 1971 Left Oohosis a Cree from Canada Right Peggy Lee Ellenwood a Sioux from Wolf Point Montana Photo by Ilka Hartmann
28,"Unfortunately, there is no cookie cutter recipe for designing a successful social movement that brings about institutional change. Scholars throughout the world have tried to delineate some essential elements but, to this day, disagree on many of them.  Although there is no consensus, there are many plausible theories that explain these social phenomena that are proliferating now, more than ever before.
 
Today, I want to highlight one perspective in particular, formulated by Erica Chenoweth, political  science professor at Harvard University. After looking over hundreds of social and political campaigns for the past century, she suggested that for a social movement to be truly influential it has to yield almost immediate results, be generally peaceful, and engage at least 3.5% of the population.
 
Do you agree or disagree?
 
Source: The '3.5% rule': How a small minority can change the world, BBC, May 2019
 
#socialmovements #communication #communicationstudies #blm #meetoo #socialchange #socialtheory #culture #harvard #minorities #protests #law #politics #peacefulprotest #blog #bbcnews #bbc",positive,positive,positive-positive,Unfortunately there is no cookie cutter recipe for designing a successful social movement that brings about institutional change Scholars throughout the world have tried to delineate some essential elements but to this day disagree on many of them Although there is no consensus there are many plausible theories that explain these social phenomena that are proliferating now more than ever before Today I want to highlight one perspective in particular formulated by Erica Chenoweth political science professor at Harvard University After looking over hundreds of social and political campaigns for the past century she suggested that for a social movement to be truly influential it has to yield almost immediate results be generally peaceful and engage at least 3 5% of the population Do you agree or disagree? Source The '3 5% rule' How a small minority can change the world BBC May 2019 socialmovements communication communicationstudies blm meetoo socialchange socialtheory culture harvard minorities protests law politics peacefulprotest blog bbcnews bbc
29,"Happy #NationalLibraryWeek! <U+0001F4DA><U+2063>
<U+2063>
Now more than ever, we celebrate and thank the contributions of our nation's libraries and librarians, as well as  promote library use and support.<U+2063>
<U+2063>
How have libraries, and the Dublin public library, impacted you? <U+0001F914>",positive,positive,positive-positive,Happy NationalLibraryWeek ! U+0001F4DA U+2063 U+2063 Now more than ever we celebrate and thank the contributions of our nation's libraries and librarians as well as promote library use and support U+2063 U+2063 How have libraries and the Dublin public library impacted you? U+0001F914
30,"When travelling on your own path, make sure you look around and reach out to help others. You never know how the tables may turn later on.

#educational #consultation #research
#leadership #vision #mission #mandates
#values #businessdevelopment #individualcoaching #businessplans #grantwriting #kameconsulting #businesstoronto #training #blackgirls
#planning #strategicplanning #smallbusiness #nonprofit #organizations #communitydevelopment #engagement
#support #womenempowerment
#communityorganizations #facilitation",neutral,positive,neutral-positive,When travelling on your own path make sure you look around and reach out to help others You never know how the tables may turn later on educational consultation research leadership vision mission mandates values businessdevelopment individualcoaching businessplans grantwriting kameconsulting businesstoronto training blackgirls planning strategicplanning smallbusiness nonprofit organizations communitydevelopment engagement support womenempowerment communityorganizations facilitation
31,"Hey guys!! New raffle dropped a couple days ago and I'm making this post to boost it! All proceeds are going to trans mutual funds! To enter simply get $10 to @haylgents 
This baddy is loaded with beautiful calming works by various local artists (tagged in each photo)
Please like and share!!

#raffle #transhealthcare #transrights #donate #gofundme #mutualaid #localart #artistssupportingartists",positive,neutral,positive-neutral,Hey guys ! ! New raffle dropped a couple days ago and I'm making this post to boost it ! All proceeds are going to trans mutual funds ! To enter simply get $10 to haylgents This baddy is loaded with beautiful calming works by various local artists (tagged in each photo) Please like and share ! ! raffle transhealthcare transrights donate gofundme mutualaid localart artistssupportingartists
32,"A Forex trading strategy defines a system that Forex traders use to determine when to buy or sell a currency pair<U+0001F469><U+200D><U+0001F4BB>

An ideal Forex trading strategy should include technical and fundamental analysis<U+0001F4CA>

It should also allow traders to analyze the market and confidently execute trades with sound risk management techniques<U+0001F4C9>

Visit www.squeezebounce.com to see our Mentorship Packages <U+0001F469><U+200D><U+0001F4BB>
-
-
-
-
-
-
-
-
-
-

#cryptoanarchy #blockchain #liberty #HashmeApp #protest #3dprinting #www #revolution #wikiweapon #libertarian #stateterror #3dprintedgun #ancap #tv #worldwideweb #3dprintedguns #hack #defundthestate via #HashMeApp",neutral,neutral,neutral-neutral,A Forex trading strategy defines a system that Forex traders use to determine when to buy or sell a currency pair U+0001F469 U+200D U+0001F4BB An ideal Forex trading strategy should include technical and fundamental analysis U+0001F4CA It should also allow traders to analyze the market and confidently execute trades with sound risk management techniques U+0001F4C9 Visit www squeezebounce com to see our Mentorship Packages U+0001F469 U+200D U+0001F4BB    cryptoanarchy blockchain liberty HashmeApp protest 3dprinting www revolution wikiweapon libertarian stateterror 3dprintedgun ancap tv worldwideweb 3dprintedguns hack defundthestate via HashMeApp
33,"Just because you're an American living outside the country, you can still vote. And you should. Organizations like Democrats Abroad are here to help make it as easy a process as it can be. Global chair Julia Bryan talks about this, the Electoral College, HR1, the filibuster, her blog and more. Plus handy links for voters abroad from several countries in the episode notes. #PragueTimes #votingcounts #democratsabroad #HR1 #forthepeople #filibuster 
https://praguetimes.podbean.com/e/folks-democrats-abroad-with-julia-bryan/",positive,negative,positive-negative,Just because you're an American living outside the country you can still vote And you should Organizations like Democrats Abroad are here to help make it as easy a process as it can be Global chair Julia Bryan talks about this the Electoral College HR1 the filibuster her blog and more Plus handy links for voters abroad from several countries in the episode notes PragueTimes votingcounts democratsabroad HR1 forthepeople filibuster https praguetimes podbean com e folks democrats abroad with julia bryan
34,#KillTheBill #bristol #bristolprotests #protests #protest #policebrutality #acab #fuckthepolice #abolishthepolice,negative,neutral,negative-neutral,KillTheBill bristol bristolprotests protests protest policebrutality acab fuckthepolice abolishthepolice
35,"Stable and kid-friendly snack packs are perfect for children of all ages. Through our snack pack program, these will be handed out to kids on weekends and during school breaks. 
.
.
.
#STLNonprofit #StLouisNonprofit #stlnonprofits #StLouisEducation #STLEducation #stlserves #essentialgoods #mobilefoodmarket #nutritionservices #childrenandfamilies #communityneeds #buildingabettercommunity #funmeals #foodassistance #enrichingcommunities #youthservices #communityaction #enrichmentprogram #communityorganization #mobilemarket #getsupport #4charity #communityimpact #neighborshelpingneighbors #takingaction #fooddistribution #socialimpact #doinggood",positive,positive,positive-positive,Stable and kid friendly snack packs are perfect for children of all ages Through our snack pack program these will be handed out to kids on weekends and during school breaks  STLNonprofit StLouisNonprofit stlnonprofits StLouisEducation STLEducation stlserves essentialgoods mobilefoodmarket nutritionservices childrenandfamilies communityneeds buildingabettercommunity funmeals foodassistance enrichingcommunities youthservices communityaction enrichmentprogram communityorganization mobilemarket getsupport 4charity communityimpact neighborshelpingneighbors takingaction fooddistribution socialimpact doinggood
36,"Arizonans are tired of Senator Sinema’s excuses, and it shows. Sinema’s favorability rating dropped drastically after she took her vocal position in favor of the Senate filibuster rule—and Arizonans are not happy. 

Sinema’s support for the filibuster will jeopardize almost every piece of popular legislation on the agenda—from protection for our right to vote to immigration reform to worker protections.

Arizonans, including Democrats and Independents aren’t standing for it. It’s time for Sinema to listen to her constituents if she wants to save her political reputation. Click the link in our bio or visit bit.ly/SinemaSinks to read our latest blog on Sinema’s drop in favorability, and why Sen. Kelly isn’t suffering the same fate. 
•
•
•
•
•
#sinema #endthefilibuster #filibuster #democrats #biden #azleg #forthepeopleact #americanjobsplan #americanrescueplan #covidrelief #politics #arizona #kyrstensinema #markkelly",negative,negative,negative-negative,Arizonans are tired of Senator Sinema’s excuses and it shows Sinema’s favorability rating dropped drastically after she took her vocal position in favor of the Senate filibuster rule—and Arizonans are not happy Sinema’s support for the filibuster will jeopardize almost every piece of popular legislation on the agenda—from protection for our right to vote to immigration reform to worker protections Arizonans including Democrats and Independents aren’t standing for it It’s time for Sinema to listen to her constituents if she wants to save her political reputation Click the link in our bio or visit bit ly SinemaSinks to read our latest blog on Sinema’s drop in favorability and why Sen Kelly isn’t suffering the same fate • • • • • sinema endthefilibuster filibuster democrats biden azleg forthepeopleact americanjobsplan americanrescueplan covidrelief politics arizona kyrstensinema markkelly
37,"Cheeese!!! Hi from the mountains! <U+0001F62C>
//
Charles, Allie & Remi
//
#ctfxc #charity #wethekings #charitywork #community #cancer #awareness #inspiration #support #nonprofit #nonprofitorganization #trippy #allie #charles #music #bekind #instagramtakeover #communityorganization #quarantine #communitylove",positive,positive,positive-positive,Cheeese ! ! ! Hi from the mountains ! U+0001F62C  Charles Allie & Remi  ctfxc charity wethekings charitywork community cancer awareness inspiration support nonprofit nonprofitorganization trippy allie charles music bekind instagramtakeover communityorganization quarantine communitylove
38,#MAGA #maggat #GOP #conservative #republicans #insurrection #trumpians #trumptard #evangelicals #resist #fascists #NRA #guns #guncontrol #gunlegislation #treason #mcconnell #corruption #economy #coup #votersuppression #minimumwage #wage #stimulus #filibuster,negative,negative,negative-negative,MAGA maggat GOP conservative republicans insurrection trumpians trumptard evangelicals resist fascists NRA guns guncontrol gunlegislation treason mcconnell corruption economy coup votersuppression minimumwage wage stimulus filibuster
39,At a #protest to #protect #dog #rights #cityofclarence #lindisfarne #protest,neutral,neutral,neutral-neutral,At a protest to protect dog rights cityofclarence lindisfarne protest
40,"Did you know nonprofits CAN take a position for or against a ballot measure?

Learn more about what nonprofit organizations can and can't do when it comes to ballot measures with our informative factsheet. Link in bio! 

#Nonprofits #BallotMeasures #StayingNonpartisan #501c3 #Elections #Community #CommunityOrganizations",neutral,neutral,neutral-neutral,Did you know nonprofits CAN take a position for or against a ballot measure? Learn more about what nonprofit organizations can and can't do when it comes to ballot measures with our informative factsheet Link in bio ! Nonprofits BallotMeasures StayingNonpartisan 501c3 Elections Community CommunityOrganizations
41,"WE ARE THE CHANGE <U+203C><U+FE0F><U+0001F30F> 

Another great shot of the #schoolstrike4climate <U+0001F4F8>

This photograph has been officially licensed. We are not the author and you do not have the authority to re-post without a proper license for the intellectual property. 

#wearethechange #bethechange #bethechangeyouwanttosee #bethechangeyouwanttoseeintheworld #bethechangeyouwishtosee #changeispossible #changeishappening #climatechangeisreal #climatechangeaction #climatechangeawareness #climatecrisis #climatemergency #climateawareness #climateaction #climatejustice #climatestrike #climatestrikeonline #climatebreakdown #climatescience #schoolstrike #schoolstrikeforclimate #climateactivist #climateactivism #environmentprotection #protests #protestart #protestsigns #ecoearthmarket #earthprotectors",positive,positive,positive-positive,WE ARE THE CHANGE U+203C U+FE0F U+0001F30F Another great shot of the schoolstrike4climate U+0001F4F8 This photograph has been officially licensed We are not the author and you do not have the authority to re post without a proper license for the intellectual property  wearethechange bethechange bethechangeyouwanttosee bethechangeyouwanttoseeintheworld bethechangeyouwishtosee changeispossible changeishappening climatechangeisreal climatechangeaction climatechangeawareness climatecrisis climatemergency climateawareness climateaction climatejustice climatestrike climatestrikeonline climatebreakdown climatescience schoolstrike schoolstrikeforclimate climateactivist climateactivism environmentprotection protests protestart protestsigns ecoearthmarket earthprotectors
42,"Thank you @maryspence1987 for awarding Mama to Mama a grant in the amount of $5,000. We appreciate the generous award and absolutely love working with you! 
#funding #communityorganization #nonprofitfunding",positive,positive,positive-positive,Thank you maryspence1987 for awarding Mama to Mama a grant in the amount of $5 000 We appreciate the generous award and absolutely love working with you ! funding communityorganization nonprofitfunding
43,"@abcnews is already setting the narrative that if there is riots, which we all know there will be, that it won’t be the fault of #BLM and #antifa

.
.
We have a podcast. Click the link in the bio
.
.
#congress #republican #democrats #libertarian #liberty #freedom #tyranny #dc #protests #anti #socialism #socialist #capitalist #capitalism #republicanparty #democraticparty #politics #politicalmemes #america",negative,negative,negative-negative,abcnews is already setting the narrative that if there is riots which we all know there will be that it won’t be the fault of BLM and antifa We have a podcast Click the link in the bio congress republican democrats libertarian liberty freedom tyranny dc protests anti socialism socialist capitalist capitalism republicanparty democraticparty politics politicalmemes america
44,"Sneak peak of our new exhibition! A collaborative installation combining paintings & sculpture, ‘I’ll meet you under the clock at Brampton Moot Hall’ 

Opening Saturday 2nd April! With a special artist in conversation:

Sat. 2nd April- 1-3pm 

Sat. 23rd April- 1-3pm 

Come support and discuss these amazing works by local artists on sense of place. Enjoy a lovely cuppa in our cosy Florence cafe. <U+0001F970> 

#localart #localartists #communityorganization #exhibitions #sculpture #paintings",positive,neutral,positive-neutral,Sneak peak of our new exhibition ! A collaborative installation combining paintings & sculpture ‘I’ll meet you under the clock at Brampton Moot Hall’ Opening Saturday 2nd April ! With a special artist in conversation Sat 2nd April 1 3pm Sat 23rd April 1 3pm Come support and discuss these amazing works by local artists on sense of place Enjoy a lovely cuppa in our cosy Florence cafe U+0001F970  localart localartists communityorganization exhibitions sculpture paintings
45,"Match day as we host Sarisbury Sparks White. 

#titchfieldtigers #titchfieldtigerscfc
#titchfield #fareham #hampshire
#football #footballbadge #footballlogo #footballcrest #football #ball #balls #grassroots #pyfl #portsmouth #pompey #youth #youthfootball #respect #communityclub #footballshirt #footballkit #footballkits #nike #gk #goalkeeper #training #sponsor #matchday",positive,positive,positive-positive,Match day as we host Sarisbury Sparks White  titchfieldtigers titchfieldtigerscfc titchfield fareham hampshire football footballbadge footballlogo footballcrest football ball balls grassroots pyfl portsmouth pompey youth youthfootball respect communityclub footballshirt footballkit footballkits nike gk goalkeeper training sponsor matchday
46,"Street Talk with Loretta Rose on location TODAY at Mother Mary Mission School in Positively Phenix City.

Huge SHOUT OUT to all 8 Community Organizations that joined forces in FREELY GIVING over 300 Easter Baskets and Food Boxes to children & families during their Easter Eggstravaganza. The spirit of Love and Joy was clearly in effect. Catch full highlight on BEAM Cable Television Network, Tuesday, 7:30pm. #StreetTalkTV #CommunityService #CommunityGiveback #Eggstravaganza #CommunityOrganizations #PhenixCity #MotherMarySchool #BEAMTV #CableTV",positive,positive,positive-positive,Street Talk with Loretta Rose on location TODAY at Mother Mary Mission School in Positively Phenix City Huge SHOUT OUT to all 8 Community Organizations that joined forces in FREELY GIVING over 300 Easter Baskets and Food Boxes to children & families during their Easter Eggstravaganza The spirit of Love and Joy was clearly in effect Catch full highlight on BEAM Cable Television Network Tuesday 7 30pm StreetTalkTV CommunityService CommunityGiveback Eggstravaganza CommunityOrganizations PhenixCity MotherMarySchool BEAMTV CableTV
47,"Here is something I painted last year.
.
.
#teargas #airbrush #protests #adamthomasrees",neutral,neutral,neutral-neutral,Here is something I painted last year  teargas airbrush protests adamthomasrees
48,"Congratulations to #Marsiling grassroots patron, Ignatius Francis Danakody, PBM who received the National Day Public Service Award last weekend.

Serving Marsiling CCC as one of our patrons, he works closely with the committee to assess the needs of various initiatives to contribute regularly to welfare funds. These funds have been meaningfully utilized to benefit the less fortunate residents in Marsiling. It supports the various welfare initiatives in Marsiling, such as the youths' mentorship program, monthly grocery distribution to residents, and festive hongbao distribution.

I am thankful for volunteers such as Ignatius for their generous contribution, enabling us to carry out programmes that benefit our residents.
 
#marsiling #grassroots #volunteer #congratulations #achievement #welldeserved #achievementaward #awardwinners #motivational",positive,positive,positive-positive,Congratulations to Marsiling grassroots patron Ignatius Francis Danakody PBM who received the National Day Public Service Award last weekend Serving Marsiling CCC as one of our patrons he works closely with the committee to assess the needs of various initiatives to contribute regularly to welfare funds These funds have been meaningfully utilized to benefit the less fortunate residents in Marsiling It supports the various welfare initiatives in Marsiling such as the youths' mentorship program monthly grocery distribution to residents and festive hongbao distribution I am thankful for volunteers such as Ignatius for their generous contribution enabling us to carry out programmes that benefit our residents  marsiling grassroots volunteer congratulations achievement welldeserved achievementaward awardwinners motivational
49,help this mother & her daughter if you can <U+0001F308><U+0001F308><U+0001F308><U+0001F98B><U+0001F98B><U+0001F98B><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> #wealthredistribution #solidarity #realalliesshowup #allyship #fundraiser #mutualaid,neutral,positive,neutral-positive,help this mother & her daughter if you can U+0001F308 U+0001F308 U+0001F308 U+0001F98B U+0001F98B U+0001F98B U+2764 U+FE0F U+2764 U+FE0F U+2764 U+FE0F U+2764 U+FE0F wealthredistribution solidarity realalliesshowup allyship fundraiser mutualaid
50,"Yesterday marks 1 year since a #BitOfCompany started (seriously a year already!) but we didn’t stop at a web series. 

In October #camerados from all over gathered for a #BitOfCompany…LIVE. It was a chance for folk to get alongside each other, #connect and hear from some special guests all online!

What was your favourite part of the evening? let us know below <U+0001F447>
.
.
.
.
.
.
.
#bitofcompany #bitofcompanylive #event #zoomevent #Throwback #HumanConnection #bemorehuman #humaninterest #humanconnections #humanbeings #bemorehumanrace #MutualAid #MutualRespect #socialmovement #socialmovements #bettertogether #community #connection #connections #HumanConnection #StayingConnected",positive,positive,positive-positive,Yesterday marks 1 year since a BitOfCompany started (seriously a year already !) but we didn’t stop at a web series In October camerados from all over gathered for a BitOfCompany…LIVE It was a chance for folk to get alongside each other connect and hear from some special guests all online ! What was your favourite part of the evening? let us know below U+0001F447    bitofcompany bitofcompanylive event zoomevent Throwback HumanConnection bemorehuman humaninterest humanconnections humanbeings bemorehumanrace MutualAid MutualRespect socialmovement socialmovements bettertogether community connection connections HumanConnection StayingConnected
51,"Marketing is the conversation between a brand and its audience. It shouldn't feel like a gimmick or a ""gotcha!"" It should be a sharing of values - a relationship built on trust. 

For a locally owned business, marketing is the chance to get to know the people who make that lifestyle possible <U+0001F44B><U+0001F44B><U+0001F44B>

It's true. By communicating what it is you're bringing to the table, you're attracting your tribe - your customers. It's our goal to demonstrate this point clearly through Fine Roots! 

Get in touch and let us know how we can help you with your branding, messaging, outreach and other growth options.

#finerootsmarketing #locallyowned #socialmedia #socialmediamarketing #supportlocal #marketing #marketinghelp #marketingagency #grassroots #ethical #events #emailcampaigns #contentcreation #local #consultancy #consultant #senseofplace #branding #localbusiness #explore #ethicalmarketing #smallbusiness #smallbusinesssupport",positive,positive,positive-positive,"Marketing is the conversation between a brand and its audience It shouldn't feel like a gimmick or a ""gotcha !"" It should be a sharing of values a relationship built on trust For a locally owned business marketing is the chance to get to know the people who make that lifestyle possible U+0001F44B U+0001F44B U+0001F44B It's true By communicating what it is you're bringing to the table you're attracting your tribe your customers It's our goal to demonstrate this point clearly through Fine Roots ! Get in touch and let us know how we can help you with your branding messaging outreach and other growth options finerootsmarketing locallyowned socialmedia socialmediamarketing supportlocal marketing marketinghelp marketingagency grassroots ethical events emailcampaigns contentcreation local consultancy consultant senseofplace branding localbusiness explore ethicalmarketing smallbusiness smallbusinesssupport"
52,"Over a year into the pandemic, there are still PPE shortages at facilities across the US. @GetUsPPE has devoted much of that last year working tirelessly to get personal protective equipment to those who need it most.

Read more in the slides above!

#GetUsPPE #COVID19 #COVID_19 #COVID #volunteer #StrongerTogether #FlattenTheCurve #Grassroots #MaskUp #FightCOVID19 #Donate #GetMePPE #Coronavirus #Health #Pandemic #PPE",positive,neutral,positive-neutral,Over a year into the pandemic there are still PPE shortages at facilities across the US GetUsPPE has devoted much of that last year working tirelessly to get personal protective equipment to those who need it most Read more in the slides above ! GetUsPPE COVID19 COVID 19 COVID volunteer StrongerTogether FlattenTheCurve Grassroots MaskUp FightCOVID19 Donate GetMePPE Coronavirus Health Pandemic PPE
53,"How have your #stress levels been? Self-care is important. <U+2764><U+FE0F>

Stress will cause negative side effects like making your body feel off-balance. Breathing techniques may help you gain control. What is your go-to way to #decreasestress that you’ve used during the #pandemic? 

Check-in daily for discussions on the topics you care about. 
https://www.facebook.com/SharminSmithAuthor 
.
.
.
.
.
.
#activist #activistsm #socialactivist #humanrightsactivist #civilrightsactivist #instaactivist #lgbtactivist #civilrights #socialjustice #socialjusticeadvocates #youngactivists #womanactivists #protest #protests #protests2020 #protestors #protest_peacefully #blm #blmactivist #blacklivesmatter #empoweredwomenempowerwomen #youmatter #gifted #unique #femalewriter #blogger #femaleblogger",negative,neutral,negative-neutral,How have your stress levels been? Self care is important U+2764 U+FE0F Stress will cause negative side effects like making your body feel off balance Breathing techniques may help you gain control What is your go to way to decreasestress that you’ve used during the pandemic? Check in daily for discussions on the topics you care about https www facebook com SharminSmithAuthor   activist activistsm socialactivist humanrightsactivist civilrightsactivist instaactivist lgbtactivist civilrights socialjustice socialjusticeadvocates youngactivists womanactivists protest protests protests2020 protestors protest peacefully blm blmactivist blacklivesmatter empoweredwomenempowerwomen youmatter gifted unique femalewriter blogger femaleblogger
54,"We are doing St Patrick's week special cocktails. Come celebrate with us @ Filibuster Lounge 
#cocktails #mocktails #smallplates #drinks #filibuster #bar #vibes #olympia #olympiawashington #StPatricksDay2022 #irishfestival #shamrock #leprechaun #festival #celebration",positive,positive,positive-positive,We are doing St Patrick's week special cocktails Come celebrate with us Filibuster Lounge cocktails mocktails smallplates drinks filibuster bar vibes olympia olympiawashington StPatricksDay2022 irishfestival shamrock leprechaun festival celebration
55,"<U+0001F409> <U+0001F525> In the spirit of Mandela Freedom Day its imperative to let the world <U+0001F30E> know that Political Prisoners exist in The U.S. borders many who have now served more time then Nelson Mandela our own mandelas need to be released now! We demand that they are released! Free Em All!!!! <U+0001F30E><U+0001F30D>
.
.
.
#nelsonmandela
#winniemandela
#southafrica
#azania
#southafrican 
#newafrikanindependencemovement 
#newafrikans
#georgejacksongrassrootsmovement
#georgejackson 
#georgejacksonquotes 
#georgejacksonuniversity 
#georgejacksonradio 
#newafrikanpoliticalprisoners 
#freeallpoliticalprisoners 
#politicalprisonersofwar
#communityorganizations 
#communityorganizing 
#communityorganizer 
#soledadbrothers 
#transformingthecriminalmindintoarevolutionarymind 
#turningcagesintouniversities 
#viralpage
#viralpages
#viralpost 
#explorepage 
#viralpost
#newafrikanpoliticalprisoners 
#newafrikanprisonerofwar 
#freepoliticalprisonersandexiles 
#freepoliticalprisoners<U+0001F397> 
#politicalprisoner 
#politicalprisoners",negative,positive,negative-positive,U+0001F409 U+0001F525 In the spirit of Mandela Freedom Day its imperative to let the world U+0001F30E know that Political Prisoners exist in The U S borders many who have now served more time then Nelson Mandela our own mandelas need to be released now ! We demand that they are released ! Free Em All ! ! ! ! U+0001F30E U+0001F30D  nelsonmandela winniemandela southafrica azania southafrican newafrikanindependencemovement newafrikans georgejacksongrassrootsmovement georgejackson georgejacksonquotes georgejacksonuniversity georgejacksonradio newafrikanpoliticalprisoners freeallpoliticalprisoners politicalprisonersofwar communityorganizations communityorganizing communityorganizer soledadbrothers transformingthecriminalmindintoarevolutionarymind turningcagesintouniversities viralpage viralpages viralpost explorepage viralpost newafrikanpoliticalprisoners newafrikanprisonerofwar freepoliticalprisonersandexiles freepoliticalprisoners U+0001F397 politicalprisoner politicalprisoners
56,"Grab your Pizza Kit today! Click the link in our bio and click Get Involved! 
•••••••••••••••
 #nonprofits #atlnonprofits #atlantanonprofits #nonprofitorganization #nonprofitorganizations #communityorganization #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising",positive,positive,positive-positive,Grab your Pizza Kit today ! Click the link in our bio and click Get Involved ! ••••••••••••••• nonprofits atlnonprofits atlantanonprofits nonprofitorganization nonprofitorganizations communityorganization blacknonprofit communityorganizations blacknonprofits nonprofitsofinstagram nonprofitsrock nonprofitlife nonprofitfundraising
57,"FILIBUSTER? What can about FILIBUSTER? What is importance for USA Senate. 
#usa #senate #filibuster #youtube #usapoliticalsystem #oxford #chicagouniversity #lectures",neutral,negative,neutral-negative,FILIBUSTER? What can about FILIBUSTER? What is importance for USA Senate usa senate filibuster youtube usapoliticalsystem oxford chicagouniversity lectures
58,"Looking to get involved with your local community? Join The Community Foundation of Greater New Britain, The Buzz and more for Giving ""Brewsday"" 2021 at @fivechurchesbrewing! Meet other professionals in your neighborhood and learn about volunteer opportunities by joining this fun, FREE happy hour event. Check out today's FB post for more information!
.
.
.
#givingtuesday #giveback #volunteer #community #communityorganizations #newbritain #newbritainct #connecticut #local #localbusiness #brewery #fivechurchesbrewing #neighbors #youngprofessionals #thebuzznb #thecommunityfoundationofnewbritain #thefeelgoodlab #compumail #givingbrewsday #ctstartup",positive,positive,positive-positive,"Looking to get involved with your local community? Join The Community Foundation of Greater New Britain The Buzz and more for Giving ""Brewsday"" 2021 at fivechurchesbrewing ! Meet other professionals in your neighborhood and learn about volunteer opportunities by joining this fun FREE happy hour event Check out today's FB post for more information !  givingtuesday giveback volunteer community communityorganizations newbritain newbritainct connecticut local localbusiness brewery fivechurchesbrewing neighbors youngprofessionals thebuzznb thecommunityfoundationofnewbritain thefeelgoodlab compumail givingbrewsday ctstartup"
59,"Happy Women's History Month!

Our celebration of Women's History Month will feature inspirational women in Hawaii to showcase the impact they have made in our community.

Today, we are featuring Pasty T. Mink! 

Pasty was the first woman of color, and the first Asian American elected to Congress. She also authored Title IX, a law that bans gender discrimination among federally-funded education programs. 

Mahalo to Patsy Mink for her dedication and services!
.
.
.
#JCIHawaii #JCIHI #JCIEmpowersMe #JCIUSA #JuniorChamberInternational #YoungProfessionals #ActiveCitizens #ServiceToHumanity #CommunityOrganization #CommunityService #WomensHistoryMonth",positive,positive,positive-positive,Happy Women's History Month ! Our celebration of Women's History Month will feature inspirational women in Hawaii to showcase the impact they have made in our community Today we are featuring Pasty T Mink ! Pasty was the first woman of color and the first Asian American elected to Congress She also authored Title IX a law that bans gender discrimination among federally funded education programs Mahalo to Patsy Mink for her dedication and services !  JCIHawaii JCIHI JCIEmpowersMe JCIUSA JuniorChamberInternational YoungProfessionals ActiveCitizens ServiceToHumanity CommunityOrganization CommunityService WomensHistoryMonth
