,description,sentiment,predicted
86,Distracting the masses with healthy alternatives while the “Other” gains momentum through filibuster and making light of false light and “shade”. #sagaftramember #labor #maya #frenchthought #college #sensationandperception #descartes #libel #liable #etymology #lastlewks #filibuster #lobby #icouldntbreatheeither #bottomline #spines #literature #catcheton #fineart #fineexpletives #yesiamstillangry,negative,neutral
87,"Every Friday we share our SMALL WINS! Drop a comment below with one win from your week.

This week we have Chelsea Jordan in the spotlight! Chelsea is full of energy, drive and ambition and as we witnessed on our IG Lives a fab interviewer too. Thanks for being you @chelseae.j we are super impressed! 

#digilearning",positive,negative
89,"SWIPE SWIPE <U+270D><U+0001F3FD><U+270D><U+0001F3FD>- Read Caption<U+2060><U+2060>
<U+2060><U+2060>
Privelege 2.0 - When good men do nothing<U+2060><U+2060>
<U+2060><U+2060>
Written by Girl Unveiled, March 2021, London, United Kingdom<U+2060><U+2060>
<U+2060><U+2060>
<U+2060><U+2060>
Inspired by Edmund Burke - Letters to Thomas Mercer<U+2060><U+2060>
<U+2060><U+2060>
Portrait is of Edmund Burke - Would it apply the same to the man begging to be unchained?<U+2060><U+2060>
<U+2060><U+2060>
<U+2060><U+2060>
<U+2060><U+2060>
<U+2060><U+2060>
<U+2060><U+2060>
<U+2060><U+2060>
#privilege #bias #subconsciousbias #racism #racismisreal #socialinjustice #maleprivilege #whiteprivilege #opportunity #equalopportunity #microagressions #socialmobility #feminism #feminist #freedom #equality #blacklivesmatter #blm #socialjustice #socialmovements #racialequality #genderequality #poetry #poemsofinstagram #writersofinstagram #writerscommunity<U+2060><U+2060> #whengoodmendonothing #edmundburke #evilprevails",negative,positive
91,"Yesterday was International Whiskey Day! <U+0001F943>
.
.
Whiskey is a distilled alcohol made from fermented grain mash. It is typically aged in wooden casks anywhere from 2 years to 20+ years.
.
.
Many countries from all over the world have their own version of whiskey which makes this beverage very popular and unique. We offer a large selection of whiskeys that have an option for everyone. Stop on in and check them out. <U+0001F642>

#internationalwhiskeyday #whiskey #whisky #filibuster #sazerac #wigle #rye #wheat #smallcask",positive,neutral
92,"We advocate for sustainable menstruation<U+0001FA78>
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#projectsomesha#projectsomeshaconversation##sustainablemenstruation #sustainablemenstruationoptions #sustainablemenstruationforall #sustainablemenstruationproducts #sustainablemenstruationkits #sustainablemenstruationawareness #sustainablemenstruationforthewin #sustainablemenstruationjourney#organizations #nonprofitorganizations #organizationsolutions #internationalorganizations #communityorganizations #organizationsupport",positive,negative
93,"The challenges we face as a Haitian People began the day our ancestors were uprooted from their homes in #Africa and sold off for capitalist gains. And though these few short anecdotes captured in these 8 images does not encapsulate over 400 years of systemic oppression and meddling of invisible hands, they will shed some light on the most current events that have led to the rise of insecurity in our beloved #Ayiti.

 #repost @shebuildsinitiative 
We do not claim to know the answers, but took the time to educate ourselves. So, we encourage you to use this time and this social media post to educate and inform yourselves and others.

Repost and share with someone who should read this.

#ayiti #haiti #inifiyeAyiti
#peyilok #kotkobpetrokaribea #freehaiti #currentevents #socialmovements",negative,positive
94,"A vision of a new world, of reciprocity, gratitude and seeing the living world for what it is: an abundance of gifts. 

I see the white-washing & green-washing of the climate & environmentalism.

It is disturbing & shocking.  Discussing climate without involving social justice is a disservice.  There is only climate justice.

It is time to respect indigenous knowledge for the betterment of our earth.  For when we heal, the earth heals & vice versa.

We can only heal by decolonisation & dismantling systems of oppression.

#climate #climatejustice #oppression #justice #nature #earth #instaquotes #healing #integrity #climatechange #environmentalism #green #quotes #inspiration #advocate #knowledgeispower #wellbeing #socialmovements #heal #indigenouslivesmatter #evolvexplore #naturelover
#earthfocus #writerscommunity
#reading #bookclubofinstagram #instablog #readingcommunity 
#socialimpact #healingenergy

We offer outdoor coaching & a social impact bookclub - dm or comment below",positive,negative
96,"Dr. Alfred Tatum's advice for young Black males...
Watch the interview in it's entirety on the We Are Here Lit! YouTube Channel.
Watch the interview in its entirety on the We Are Here Lit! YouTube Channel.
Can you guess what his favorite book title was as a child? I guarantee you will not imagine. This man, as a youth, was a voracious, diverse reader.

Watch the interview in its entirety on the We Are Here Lit! YouTube Channel. The video is also available at weareherelit.org.

If you like our content or think it is useful please follow us and pass the profile along. 

#weareherelit

#blackboysarelit #blackboysread #blackboyjoy #read #readingmatters #blackboysrock #blackparents #blackboysmatter #weneeddiversebooks #diversitymatters #blackteachersmatter #booksofinstagram #librariesofinstagram #schoollibrarian #picturebook #kidslit #childrensliterature #elementaryteacher #teachersofinstagram #homeschool #blackhomeschoolers #professionaldevelopment #communitiesofpractice
#blacklibrarians #bookstagram #communityorganizations #literacyorganizations #afterschoolcare #liteacyadvocates",positive,neutral
98,"International Day of Persons with Disabilities was founded in 1992 to #celebrate people living with #disabilities across the world. 
*
It symbolizes the actions we should all take every day to create more #diverse and accessible #communities. 
*
We are incredibly #thankful for all the #nonprofits and #communityorganizations across the country who serve #disabledpeople and push for continued #equality and #change! 
*
Have a favorite #nonprofit you’d like to recognize? Tag them in the comments below! 
*
#DisabilityAwareness #Accessibility #InclusionMatters #DisabilityRights #DisabilityAdvocate #AbilityNotDisability #DisabilityPride #DisabilityInclusion",positive,neutral
99,"Mr. X Stock Market Academy Advantages of Stock Market Investing: 

<U+2705> Allows you to build wealth for you and your family 

<U+2705> Depending on what type of investment you hold in the stock market you could earn 15% or more on your invested money 

<U+2705> Investing in the stock market can be used to provide income for your retirement 

<U+2705> The money you earn in the stock market can be used to pay off any debt you may have 

<U+2705> The money you earn in the stock market can be used as a down payment to buy a home 

If you want to learn how to develop a system on the best way to invest in the stock market or want to grow your money faster if you are already investing in the stock market, Mr. X Stock Market Academy invites you to sign up for our Wednesday January 12, 2022 Free Stock Market Webinar which starts at 8:30pm eastern standard time. 

<U+2705> You will receive a email notification with instructions on how to access the webinar once you register. Check your inbox, junk box or spam box for this email notification. 

<U+2705> Go to the website address below or click link in bio to register for our free stock market webinar on Wednesday January 12, 2022 that starts at 8:30pm eastern standard time. 

https://mrxstockmarketacademy.com/webinar-registrations/ 

<U+2705> We look forward to your attendance.
.
.
.
.
.
. 
.
.
#stockmarketinvesting 
#stockmarketeducation 
#stockmarkettips 
#stockmarkettraining 
#stockmarketforbeginners 
#millionairemindset 
#passiveincome 
#stockmarket 
#invest 
#investments 
#investors 
#investing 
#market 
#investingtips 
#investinginthestockmarket
#stockexchange
#economy 
#money 
#makemoney 
#wealth 
#collegestudent
#blackcollegestudent
#communityorganizations
#wealthbuilding 
#wallstreet
#stockmarketeducator 
#smallbusinesssupport 
#blackbusiness 
#blackbusinessowner 
#mrxstockmarketacademy",positive,neutral
100,"Thanks, @ghostvalleypete, for the irrigation tutorial! We have kale, chard, peppers, tomatoes, brassicas, beans, and a squash medley in the ground and we’re on the way to irrigation.  #communitygarden #growfood #feedpeople #mutualaid #mutualaidgarden #roughandready",positive,negative
103,"Everyday is a good day to be kind! 
••••••••••••••• 
#nonprofits #atlnonprofits #atlantanonprofits #nonprofitorganizations #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising",positive,negative
104,"<U+0001F4AB>Check out our latest Community Resource Guide with resource programs and services from local agencies and organizations in Pasco and Hernando Counties.  To download the full issue, click here https://www.phelc.org/p/32/child-care-resource-referral #community #communityresources #communityservices #communityservice #communityprograms #communityorganizations #childcarereferral #childcareresources #parents #parentsofinstagram #momsofinstagram #momlife #parentresources",neutral,positive
106,"Our commitment to business law goes beyond legal advice. Our clients trust our team to provide guidance on their day-to-day business operations as well. This advice and guidance come in many forms, including advising on efficient business structures and drafting sophisticated commercial agreements. As part of our business commercial practice, we provide advice and guidance on real estate purchases and leasing, and succession planning, and asset protection.  We are proud of our reputation for helping organizations thrive and we are proud to share in our clients’ ongoing journey of success.
DM or call today so we can assist you with your business legal needs.
#glenlochlegal
#businessplanning
#businessadvice
#communityorganizations
#winchesterva
#law
#businessgoals",positive,negative
110,"""This country belongs to all of us, not just a handful of billionaires.""-@berniesanders

#BernieSanders #MedicareForAll #FightFor15 #RaiseTheWage #OrganizeToWin #NotMeUs #OurRevolution #GoodJobsForAll #Justice #Healthcare #GunControl #GunReformNow #GunControlNow #GunReform #BackgroundChecks #BackgroundChecksNow #HR8 #Politics #uspolitics #Progressive #Filibuster #AbolishFilibusterNow #AbolishFilibuster #EndFilibuster #EnoughIsEnough #Senate #10votes",positive,neutral
112,"We have so much to learn from people who do the work on the ground, love their community and believe in the people they serve. 

Even if you couldn't make our Choose Hope Film Screening you can still hear what they have to say about how we can build peace, equity and a Chicago where all can thrive. 

View the panel discuss here and join the conversation!

<U+270C>https://vimeo.com/657617305

#CHOOSEHOPE #communityorganizations #communityengagement #Chicagofilms #Chicagostrong #chicagofilmfesr #endgunviolence #honorwithaction",positive,negative
113,"A protest in #Berlin today against the war in #Ukraine… This is an insane show of support 

#UkraineRussiaWar 
#Ukraine #Russia #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #ukraine #kamalaharris #president #nancypelosi #chuckschumer #filibuster #votevets #dnc",positive,negative
118,"It’s a great day to do something good! 
••••••••••••••• 
#nonprofits #nonprofitorganizations #communityorganization #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising",positive,negative
121,"Register at LexSeeHer.com - link in profile - for a wonderful panel about #breakingbarriers for #internationalwomensday @repciccolo We are excited to hear from Vineeta Kumar who joins us from the Indian Americans of Lexington!  Vineeta is a community leader in several organizations, including the Town Meeting Members Association. Join us at 8:00 p.m. for a lively hour with bold women of Lexington! #lexingtonma #lexingtonmass #lexingtonmassachusetts #womenshistorymonth #womenleadership #communityorganizations #civics #indianamerican #civicengagement #businesswoman",positive,neutral
122,So what even is the #ForThePeopleAct ? And why should we care? Scroll through to learn why this moment in history is so vital for our democracy! #HR1 #S1 #filibuster #democracyreform #youthpower #senatorsinema,neutral,negative
123,Phil LaBuster 2024.  #filibuster #congress #politics #politicalmemes #phillabuster2024,neutral,negative
124,"A question before we end this day, what have you done for the poor? Please brothers and sisters we call upon for your support and donations to our Orphanage called Amazing Grace Orphanage Centre located in Uganda (Africa) ,for any kind of support l encourage you to inbox me for more information ,May God bless you all?#activeloveforjesus
#activeloveforjesuschrist
#amgraceo
#amazinggracechlidcenter
#charity
#nonprofitorganization
#communityorganization
#communitydevelopmentorganization
#fundraising
#fundraiser
#fundraisingcampaign
#jesus
#amazing_grace_chlid_center
#active_love_for_jesus_christ
#active_love_for_jesus",neutral,positive
125,"Get ready! We’re ready! 
•••••••••••••••
 #nonprofits #atlnonprofit #atlnonprofits #atlantanonprofit #atlantanonprofits #nonprofitorganization #nonprofitorganizations #communityorganization #blacknonprofit #communityorganizations #blacknonprofits  #nonprofitsofinstagram #nonprofitsrock #nonprofitlife  #nonprofitfundraising #doula #doulas #doulalife #blackdoula #blackdoulas #blackdoulasmatter #blackmamasmatter #blackatldoula #blackatldoulas #blackatlantadoula #blackatlantadoulas #atlantadoula #atlantadoulas",positive,neutral
126,"I love/hate what I study. Some days can get really emotional. Especially when I read and study politics and most of them lack humanity and empathy. Anyways, trying to finish this degree to make someone’s life easier! Lessss go<U+0001F4C7>

•
•

 #againstallodds #politicalscience 
#educatedlatina 
#startedfromthebottom #betteryourself 
#POLS #POLISCI #filibuster #dreamchaser #goaldigger #latina #lawtina #latinasinhighereducation #latinasinhighered
#estudos #studygram #horadeestudar #instastudy #concurseira #studytips #studynotes  #politicalscience 
#gradschool
#AlphaLatina #Lawtina #EducatedLatina #DACAmented #DACA #Heretostay #Latinaswithmasters #Mastersdegree",neutral,positive
127,"ADC election
<U+092E><U+0923><U+093F><U+092A><U+0941><U+0930> <U+092E><U+0947><U+0902> <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+0940> <U+0906><U+0902><U+0926><U+094B><U+0932><U+0928> <U+0915><U+0947> <U+0938><U+093E><U+092E><U+0928><U+0947> <U+091D><U+0941><U+0915><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930>
The power of protest

<U+092E><U+0923><U+093F><U+092A><U+0941><U+0930> <U+092E><U+0947><U+0902> <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+0940> <U+0938><U+0902><U+0917><U+0920><U+0928> The All Tribal Students’ Union <U+0915><U+094B> <U+090F><U+0915> <U+092C><U+0921><U+093C><U+0940> <U+0938><U+092B><U+0932><U+0924><U+093E> <U+0939><U+093E><U+0938><U+093F><U+0932> <U+0939><U+0941><U+0908> <U+0939><U+0948>. <U+092F><U+0939> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+0930><U+093E><U+091C><U+094D><U+092F> <U+092E><U+0947><U+0902> <U+0915><U+0908> <U+0926><U+093F><U+0928><U+094B><U+0902> <U+0938><U+0947> <U+0906><U+0902><U+0926><U+094B><U+0932><U+0928> <U+0915><U+0930> <U+0930><U+0939><U+093E> <U+0925><U+093E>. <U+0907><U+0938> <U+0906><U+0902><U+0926><U+094B><U+0932><U+0928> <U+0915><U+0947> <U+091C><U+093C><U+0930><U+093F><U+090F> <U+0907><U+0938> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+0915><U+0940> <U+092E><U+093E><U+0902><U+0917> <U+0925><U+0940> <U+0915><U+093F> <U+0930><U+093E><U+091C><U+094D><U+092F> <U+092E><U+0947><U+0902> <U+0911><U+091F><U+094B><U+0928><U+0949><U+092E><U+0938> <U+0921><U+093F><U+0938><U+094D><U+091F><U+094D><U+0930><U+093F><U+0915><U+094D><U+091F> <U+0915><U+093E><U+0909><U+0902><U+0938><U+093F><U+0932> (ADC) <U+0915><U+0947> <U+091A><U+0941><U+0928><U+093E><U+0935> <U+0924><U+0941><U+0930><U+0902><U+0924> <U+0915><U+0930><U+093E><U+090F> <U+091C><U+093E><U+090F><U+0902>. 

<U+0907><U+0938> <U+0938><U+093F><U+0932><U+0938><U+093F><U+0932><U+0947> <U+092E><U+0947><U+0902> <U+0915><U+0932> <U+092F><U+093E><U+0928><U+093F> <U+0917><U+0941><U+0930><U+0942><U+0935><U+093E><U+0930> <U+0930><U+093E><U+0924> <U+0915><U+094B> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0914><U+0930> <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+0940> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+0915><U+0947> <U+092C><U+0940><U+091A> <U+0938><U+0939><U+092E><U+0924><U+093F> <U+092C><U+0928> <U+0917><U+0908>. <U+0907><U+0938> <U+0938><U+0939><U+092E><U+0924><U+093F> <U+0915><U+0947> <U+0906><U+0927><U+093E><U+0930> <U+092A><U+0930> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0914><U+0930> <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+0940> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+0915><U+0947> <U+092C><U+0940><U+091A> <U+090F><U+0915> <U+0938><U+092E><U+091D><U+094C><U+0924><U+0947> <U+092A><U+0930> <U+0939><U+0938><U+094D><U+0924><U+093E><U+0915><U+094D><U+0937><U+0930> <U+0915><U+093F><U+090F> <U+0917><U+090F> <U+0939><U+0948><U+0902>. <U+0907><U+0938> <U+0938><U+092E><U+091D><U+094C><U+0924><U+0947> <U+0915><U+0947> <U+0905><U+0928><U+0941><U+0938><U+093E><U+0930> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+091C><U+093C><U+093F><U+0932><U+093E> <U+0938><U+094D><U+0935><U+093E><U+092F><U+0924><U+094D><U+0924> <U+092A><U+0930><U+093F><U+0937><U+0926> <U+0915><U+0947> <U+091A><U+0941><U+0928><U+0935><U+093E> 5 <U+092E><U+0908> <U+0938><U+0947> 25 <U+091C><U+0942><U+0928> <U+0915><U+0947> <U+092C><U+0940><U+091A> <U+0915><U+0930><U+0935><U+093E><U+090F><U+0917><U+0940>. 

<U+091C><U+093C><U+093F><U+0932><U+093E> <U+0938><U+094D><U+0935><U+093E><U+092F><U+0924><U+094D><U+0924> <U+092A><U+0930><U+093F><U+0937><U+0926><U+094B><U+0902> <U+0915><U+0947> <U+091A><U+0941><U+0928><U+0935><U+093E> <U+0915><U+0940> <U+092E><U+093E><U+0902><U+0917> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0926><U+0940> <U+0911><U+0932> <U+0911><U+0932> <U+091F><U+094D><U+0930><U+093E><U+0907><U+092C><U+0932> <U+0938><U+094D><U+091F><U+0941><U+0921><U+0947><U+0928><U+094D><U+091F><U+094D><U+0938> <U+092F><U+0942><U+0928><U+093F><U+092F><U+0928> <U+0928><U+0947> <U+0906><U+0902><U+0926><U+094B><U+0932><U+0928> <U+0936><U+0941><U+0930><U+0942> <U+0915><U+093F><U+092F><U+093E> <U+0925><U+093E>. <U+0907><U+0938> <U+0926><U+0948><U+0930><U+093E><U+0928> <U+0907><U+0938> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+0915><U+0947> <U+0915><U+0908> <U+0928><U+0947><U+0924><U+093E><U+0913><U+0902> <U+0915><U+094B> <U+092A><U+0941><U+0932><U+093F><U+0938> <U+0928><U+0947> <U+0917><U+093C><U+093F><U+0930><U+092B><U+093C><U+094D><U+0924><U+093E><U+0930> <U+0915><U+0930> <U+0932><U+093F><U+092F><U+093E> <U+0925><U+093E>. <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+0940> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+0914><U+0930> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0915><U+0947> <U+092C><U+0940><U+091A> <U+0938><U+092E><U+091D><U+094C><U+0924><U+0947> <U+0915><U+0947> <U+0924><U+0939><U+0924> <U+0907><U+0928> <U+0915><U+093E><U+0930><U+094D><U+092F><U+0915><U+0930><U+094D><U+0924><U+093E><U+0913><U+0902> <U+0914><U+0930> <U+0928><U+0947><U+0924><U+093E><U+0913><U+0902> <U+0915><U+094B> <U+092D><U+0940> <U+0930><U+093F><U+0939><U+093E> <U+0915><U+0930> <U+0926><U+093F><U+092F><U+093E> <U+0917><U+092F><U+093E> <U+0939><U+0948>. 

<U+092C><U+0941><U+0927><U+0935><U+093E><U+0930> <U+0915><U+094B> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0915><U+0940> <U+0924><U+0930><U+092B><U+093C> <U+0938><U+0947> <U+0924><U+0940><U+0928> <U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0936><U+093E><U+092E><U+093F><U+0932> <U+0939><U+0941><U+090F> <U+0925><U+0947>. <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+0940> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+0914><U+0930> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0915><U+0947> <U+092C><U+0940><U+091A> <U+092C><U+0948><U+0920><U+0915> <U+0930><U+093E><U+091C><U+094D><U+092F> <U+0915><U+0947> <U+0916><U+0947><U+0932> <U+0914><U+0930> <U+092F><U+0941><U+0935><U+093E> <U+092E><U+093E><U+092E><U+0932><U+094B><U+0902> <U+0915><U+0947> <U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0932><U+0947><U+0924><U+092A><U+093E><U+0913> <U+0939><U+093E><U+0913><U+0915><U+093F><U+092A> (Letpao Haokip) <U+0915><U+0947> <U+0918><U+0930> <U+092A><U+0930> <U+0939><U+0941><U+0908>. <U+0907><U+0938> <U+092C><U+0948><U+0920><U+0915> <U+092E><U+0947><U+0902> <U+0916><U+0947><U+0932> <U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0915><U+0947> <U+0905><U+0932><U+093E><U+0935><U+093E> <U+0926><U+094B> <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+0940> <U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0914><U+0930> <U+0936><U+093E><U+092E><U+093F><U+0932> <U+0925><U+0947>.

<U+0938><U+094D><U+0935><U+093E><U+092F><U+0924><U+094D><U+0924> <U+091C><U+093C><U+093F><U+0932><U+093E> <U+092A><U+0930><U+093F><U+0937><U+0926> <U+0915><U+0947> <U+091A><U+0941><U+0928><U+0935><U+093E> <U+092A><U+093F><U+091B><U+0932><U+0947> <U+0938><U+093E><U+0932> <U+091C><U+0942><U+0928> <U+092E><U+0939><U+0940><U+0928><U+0947> <U+092E><U+0947><U+0902> <U+0939><U+094B><U+0928><U+0947> <U+0925><U+0947>. <U+0932><U+0947><U+0915><U+093F><U+0928> <U+0930><U+093E><U+091C><U+094D><U+092F> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0928><U+0947> <U+0907><U+0928> <U+091A><U+0941><U+0928><U+093E><U+0935><U+094B><U+0902> <U+0915><U+094B> <U+091F><U+093E><U+0932><U+0928><U+0947> <U+0915><U+093E> <U+092B><U+093C><U+0948><U+0938><U+0932><U+093E> <U+0915><U+093F><U+092F><U+093E> <U+0925><U+093E>. 

The All Tribal Student’s Union <U+092E><U+0923><U+093F><U+092A><U+0941><U+0930> <U+0915><U+0947> <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+093F><U+092F><U+094B><U+0902> <U+0915><U+093E> <U+0938><U+0930><U+094D><U+0935><U+094B><U+091A><U+094D><U+091A> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+092E><U+093E><U+0928><U+093E> <U+091C><U+093E><U+0924><U+093E> <U+0939><U+0948>. <U+0907><U+0938> <U+0938><U+0902><U+0917><U+0920><U+0928> <U+0928><U+0947> <U+091C><U+092C> <U+0906><U+0902><U+0926><U+094B><U+0932><U+0928> <U+0936><U+0941><U+0930><U+0942> <U+0939><U+0941><U+0906> <U+0925><U+093E> <U+0924><U+094B> <U+091C><U+093C><U+094D><U+092F><U+093E><U+0926><U+093E><U+0924><U+0930> <U+0906><U+0926><U+093F><U+0935><U+093E><U+0938><U+0940> <U+0938><U+0902><U+0917><U+0920><U+0928><U+094B><U+0902> <U+0928><U+0947> <U+0907><U+0938> <U+0906><U+0902><U+0926><U+094B><U+0932><U+0928> <U+0915><U+093E> <U+0938><U+092E><U+0930><U+094D><U+0925><U+0928> <U+0915><U+093F><U+092F><U+093E> <U+0925><U+093E>. <U+0906><U+0902><U+0926><U+094B><U+0932><U+0928> <U+0915><U+094B> <U+0938><U+092E><U+0930><U+094D><U+0925><U+0928> <U+0926><U+0947><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947> <U+0938><U+0902><U+0917><U+0920><U+0928><U+094B><U+0902> <U+092E><U+0947><U+0902> <U+0915><U+0941><U+0915><U+0940> <U+0938><U+094D><U+091F><U+0942><U+0921><U+0947><U+0928><U+094D><U+091F><U+094D><U+0938> <U+0911><U+0930><U+094D><U+0917><U+0947><U+0928><U+093E><U+0907><U+091C><U+0947><U+0936><U+0928> <U+0914><U+0930> <U+0911><U+0932> <U+0928><U+093E><U+0917><U+093E> <U+0938><U+094D><U+091F><U+0942><U+0921><U+0947><U+0928><U+094D><U+091F><U+094D><U+0938> <U+090F><U+0938><U+094B><U+0938><U+093F><U+090F><U+0936><U+0928> <U+0936><U+093E><U+092E><U+093F><U+0932> <U+0925><U+0947>. 

<U+0907><U+0928> <U+0938><U+0902><U+0917><U+0920><U+0928><U+094B><U+0902> <U+0928><U+0947> <U+092A><U+093F><U+091B><U+0932><U+0947> <U+092E><U+0902><U+0917><U+0932><U+0935><U+093E><U+0930> <U+0915><U+094B> <U+092E><U+0923><U+093F><U+092A><U+0941><U+0930> <U+092E><U+0947><U+0902> <U+092A><U+0942><U+0930><U+094D><U+0923> <U+092C><U+0902><U+0926> <U+0915><U+093E> <U+0915><U+0949><U+0932> <U+0926><U+093F><U+092F><U+093E> <U+0925><U+093E>. <U+0907><U+0928> <U+0938><U+0902><U+0917><U+0920><U+0928><U+094B><U+0902> <U+0915><U+0947> <U+0906><U+0939><U+094D><U+0935><U+093E><U+0928> <U+092A><U+0930> <U+092C><U+0941><U+0932><U+093E><U+092F><U+093E> <U+0917><U+092F><U+093E> <U+092C><U+0902><U+0926> <U+0932><U+0917><U+092D><U+0917> <U+092A><U+0942><U+0930><U+0940> <U+0924><U+0930><U+0939> <U+0938><U+0947> <U+0932><U+093E><U+0917><U+0942> <U+0939><U+0941><U+0906> <U+0925><U+093E>. <U+0907><U+0938><U+0915><U+0947> <U+092C><U+093E><U+0926> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0926><U+092C><U+093E><U+0935> <U+092E><U+0947><U+0902> <U+0906><U+0908> <U+0914><U+0930> <U+0907><U+0928> <U+0938><U+0902><U+0917><U+0920><U+0928><U+094B><U+0902> <U+0915><U+0940> <U+092E><U+093E><U+0902><U+0917> <U+0915><U+094B> <U+092E><U+093E><U+0928> <U+0932><U+093F><U+092F><U+093E> <U+0917><U+092F><U+093E>.

#ADC_election
#manipur #tribal
#students #power #protest #ATSUM",neutral,negative
128,"Just a reminder that we will be having a pop up drive by donation drive this Sunday, April 11th from 12 to 1 PM in the parking lot at 120 Park Lane. On Monday we will begin our next project. We will be collecting used towels to donate to the New Milford animal shelter and also to The Gathering Place in Torrington. In  addition to towels, we will also be collecting cleaning products to give to both locations. We will be collecting ALL items this Sunday (clothing, towels & cleaning products).We just ask that you bag them each separately. More pop up dates will be announced. As always, thank you for your support. We will update our Amazon wish list to reflect these current items. Thank you!!<U+0001F497><U+0001F30D><U+0001F98B>
#popup #springcleaning #litchfieldcounty #smallbutmighty #donate #litchfieldcounty #kindness #connecticut #nwct #cleanup #instagood #mariekondo #locallove #communitysupport #local #reducereuserecycle #savetheplanet #newengland #newmilfordct #explorewashington #thinklocal #kidsclothes #micromutualaid #gratitude #seeyouonsunday #givingback #grassroots #thankyou #recycle #makeadifference #goodvibesonly",neutral,positive
130,"Rise and Resist I’d doing a series of actions raising awareness of how the filibuster prevents congress from enacting the will of the majority. 

Graphic by @marylikespostcards 

#postcards #filibuster #majorityrule #endthe filibuster #risenresistnyc",positive,neutral
131,"Congress is back next week. Let’s make sure they know what to do:
<U+26A1><U+FE0F>Get rid of the #filibuster 
<U+26A1><U+FE0F>Pass #HR1 #ForThePeopleAct",positive,negative
133,"Ms. F, a 27-year-old mother of two, moved into a home without a washer and dryer. Rockville Housing Enterprises, a public housing agency, referred her to Community Forklift’s Home Essentials Program and we provided her with a free gently used set.

Please help our nonprofit continue to lift up our community through reuse by donating funds to support our operations or gently used materials. Visit the links in our bio for more info! Thank you!
.
.
.
.
.
#HomeEssentialsProgram #homeessentials #homeessential #homeappliances #homeappliance #washeranddryer #laundryroom #laundryday #washingmachine #clotheswasher #clothesdryer #publichousing #housingsupport #affordablehousing #communitysupport #communityorganization #communitygrograms #communitygiving #nonprofitorg #nonprofitorganizations #donatedontdump #donatetoday #buildingmaterial #architecturalsalvage #salvageyard #CommunityForklift #DMVmetro #PrinceGeorgesCounty",positive,neutral
134,"Our Spring 2021 session of Teen Project Studio +2.0 begins this Tuesday! For the next three months, every Tuesday participants will participate in a series of FREE online lectures and photography based classes with five female photographers of the Black Lives Matter movement in NYC. Sign up  now using this form: https://forms.gle/iFUczBCsY15xmF6Y9

Instructors Chae Khin (@chaekihn), Erica Lansner (@elansner), Lucy Baptiste (@flicks_by_lucy), Phoenix Robles (@phoenixroblesphotography), and Caroline Mardok (@NYStrong) will each lead a set number of sessions and share their visions, experience and techniques. These photographers are also part of an exhibition that is scheduled to open at BRAC at the end of May 2021.

As part of the class, participants will be able to witness different narratives and gain an understanding of how an artist's choice of framing and composition combine to create one’s own personal vision.

#nyartists #bronxriverartcenter #brac #teenprojectstudio #photographyclass #lectures #lectureseries #chaekihn #ericalansner #lucybaptiste #phoenixrobles #carolinemardok #blacklivesmatter #lgbtq #photojournalism #onlineclasses  #photography #protests",positive,neutral
